Date,Neto,Bruto
1977-01-31,3520,0
1977-02-28,3604,0
1977-03-31,3971,0
1977-04-30,3925,0
1977-05-31,3959,0
1977-06-30,4016,0
1977-07-31,4211,0
1977-08-31,4179,0
1977-09-30,4082,0
1977-10-31,4328,0
1977-11-30,4339,0
1977-12-31,4501,0
1978-01-31,4290,0
1978-02-28,4387,0
1978-03-31,4811,0
1978-04-30,4589,0
1978-05-31,4824,0
1978-06-30,4836,0
1978-07-31,5011,0
1978-08-31,5034,0
1978-09-30,4858,0
1978-10-31,5239,0
1978-11-30,5213,0
1978-12-31,5216,0
1979-01-31,5113,0
1979-02-28,5200,0
1979-03-31,5642,0
1979-04-30,5592,0
1979-05-31,5797,0
1979-06-30,5645,0
1979-07-31,6028,0
1979-08-31,5996,0
1979-09-30,5716,0
1979-10-31,6409,0
1979-11-30,6270,0
1979-12-31,6436,0
1980-01-31,5971,0
1980-02-29,5890,0
1980-03-31,6291,0
1980-04-30,6727,0
1980-05-31,6762,0
1980-06-30,6726,0
1980-07-31,7290,0
1980-08-31,6975,0
1980-09-30,7148,0
1980-10-31,7894,0
1980-11-30,7654,0
1980-12-31,8181,0
1981-01-31,7661,0
1981-02-28,8111,0
1981-03-31,8600,0
1981-04-30,8957,0
1981-05-31,8962,0
1981-06-30,9170,0
1981-07-31,9926,0
1981-08-31,9446,0
1981-09-30,9499,0
1981-10-31,10442,0
1981-11-30,10196,0
1981-12-31,11152,0
1982-01-31,10142,0
1982-02-28,10882,0
1982-03-31,11643,0
1982-04-30,11711,0
1982-05-31,11732,0
1982-06-30,11861,0
1982-07-31,12576,0
1982-08-31,12114,0
1982-09-30,11960,0
1982-10-31,12253,0
1982-11-30,12543,0
1982-12-31,13523,0
1983-01-31,12400,0
1983-02-28,13099,0
1983-03-31,13854,0
1983-04-30,14219,0
1983-05-31,14360,0
1983-06-30,14618,0
1983-07-31,15403,0
1983-08-31,15399,0
1983-09-30,15485,0
1983-10-31,17057,0
1983-11-30,17130,0
1983-12-31,18718,0
1984-01-31,17282,0
1984-02-29,18259,0
1984-03-31,19041,0
1984-04-30,19602,0
1984-05-31,20299,0
1984-06-30,20381,0
1984-07-31,22188,0
1984-08-31,21886,0
1984-09-30,21534,0
1984-10-31,25997,0
1984-11-30,25766,0
1984-12-31,27935,0
1985-01-31,26606,0
1985-02-28,28718,0
1985-03-31,30333,0
1985-04-30,32879,0
1985-05-31,33127,0
1985-06-30,34277,0
1985-07-31,39785,0
1985-08-31,38216,0
1985-09-30,39341,0
1985-10-31,48013,0
1985-11-30,47494,0
1985-12-31,53964,0
1986-01-31,52627,0
1986-02-28,58083,0
1986-03-31,60782,0
1986-04-30,67707,0
1986-05-31,68758,0
1986-06-30,71002,0
1986-07-31,77462,0
1986-08-31,74846,0
1986-09-30,79618,0
1986-10-31,96816,0
1986-11-30,96666,0
1986-12-31,118258,0
1987-01-31,105563,0
1987-02-28,112258,0
1987-03-31,110608,0
1987-04-30,119951,0
1987-05-31,122036,0
1987-06-30,131443,0
1987-07-31,160324,0
1987-08-31,158923,0
1987-09-30,171683,0
1987-10-31,203859,0
1987-11-30,211816,0
1987-12-31,242513,0
1988-01-31,239321,0
1988-02-29,270855,0
1988-03-31,295098,0
1988-04-30,312374,0
1988-05-31,314845,0
1988-06-30,324118,0
1988-07-31,376305,0
1988-08-31,421852,0
1988-09-30,452224,0
1988-10-31,596844,0
1988-11-30,667061,0
1988-12-31,818039,0
1989-01-31,909097,0
1989-02-28,1076993,0
1989-03-31,1388372,0
1989-04-30,1726426,0
1989-05-31,2305393,0
1989-06-30,2907453,0
1989-07-31,4140884,0
1989-08-31,5771618,0
1989-09-30,8876666,0
1989-10-31,13821816,0
1989-11-30,20377976,0
1989-12-31,28430170,0
1990-01-31,3008,0
1990-02-28,2931,0
1990-03-31,3024,0
1990-04-30,3008,0
1990-05-31,3132,0
1990-06-30,3488,0
1990-07-31,4049,0
1990-08-31,4405,0
1990-09-30,4832,0
1990-10-31,5405,0
1990-11-30,5655,0
1990-12-31,5916,0
1991-01-31,5953,0
1991-02-28,5809,0
1991-03-31,6088,0
1991-04-30,6528,0
1991-05-31,6933,0
1991-06-30,7227,0
1991-07-31,7818,0
1991-08-31,8389,0
1991-09-30,9152,0
1991-10-31,10611,0
1991-11-30,11868,0
1991-12-31,14841,0
1992-01-31,15599,24078
1992-02-29,19605,29351
1992-03-31,27415,36829
1992-04-30,44524,60655
1992-05-31,69460,94744
1992-06-30,12074,16652
1992-07-31,18480,26226
1992-08-31,27838,39637
1992-09-30,42411,60711
1992-10-31,66633,94349
1992-11-30,107875,152739
1992-12-31,176225,253749
1993-01-31,260242,374198
1993-02-28,605935,905657
